Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,SIDDIPET,GAJWEL,kodakandla,1702009,Remmanaguda-I,82,3,1,84,2,0,83,2,1
2025,8,SIDDIPET,GAJWEL,kodakandla,1702234,Dacharam-II,23,4,0,25,1,1,26,1,0
2025,8,RANGAREDDY,MAHESHWARAM,Rachalur,1505094,Akulamilaram II,45,2,1,47,1,0,43,4,1
2025,8,MEDAK,NARSAPUR,Toopran,1702059,Toopran-I,55,1,0,56,0,0,56,0,0
2025,8,MEDAK,NARSAPUR,Ganapur,1702127,Malkapoor,66,4,0,69,1,0,64,6,0
2025,8,NARAYANPET,MADDUR,sarjakanpet,1411238,Mungimalla,22,2,1,25,0,0,16,8,1
2025,8,KARIMNAGAR,KARIMNAGAR (R ),Chenjerla,2006091,Rangapeta,73,6,1,76,4,0,74,4,2
2025,8,KARIMNAGAR,KARIMNAGAR (R ),Chenjerla,2006109,Edulagattepally,47,3,1,49,2,0,43,8,0
2025,8,NARAYANPET,MADDUR,KANKURTHY,1411188,Kankurthi I,45,8,0,52,1,0,27,23,3
2025,8,KHAMMAM,MADHIRA,MADHIRA 3,2210044,Maturu-II,17,2,0,19,0,0,18,1,0
2025,8,KHAMMAM,MADHIRA,YERRUPALEM 1,2210201,Banigandlapadu-IV,36,0,1,37,0,0,36,1,0
2025,8,JOGULAMBA-GADWAL,MANOPADU,Manopad,1416007,Amaravai-II,55,6,1,61,1,0,46,15,1
2025,8,MULUGU,VENKATAPURAM,Wazeedu,2214151,Nagaram-2,22,1,0,21,1,1,22,1,0
2025,8,WANAPARTHY,WANAPARTHY,Revally,1417133,Revally-IV,44,0,0,42,2,0,43,1,0
2025,8,WANAPARTHY,WANAPARTHY,Revally,1417150,Chennaram-I,57,2,2,59,2,0,56,4,1
2025,8,KHAMMAM,KHAMMAM (R),Gollapadu,2205059,Gollapadu - II,39,3,0,41,1,0,37,5,0
2025,8,WANAPARTHY,WANAPARTHY,Wanaparthy,1419005,Kummarigeri,37,2,0,38,1,0,39,0,0
2025,8,WANAPARTHY,WANAPARTHY,Wanaparthy,1419022,Raigadda,48,2,0,49,1,0,47,3,0
2025,8,NALGONDA,DAMERCHERLA,Agamothkur,2307105,Puchakayalagudem,9,1,0,9,1,0,9,1,0
2025,8,NALGONDA,DAMERCHERLA,Agamothkur,2307088,Iskabaigudem,18,1,1,19,1,0,16,3,1
2025,8,KHAMMAM,KHAMMAM (R),Maddulapalli,2205259,Nandyathanda,25,4,0,25,4,0,28,1,0
2025,8,MULUGU,VENKATAPURAM,Edjerlapalli,2214032,Jaganadhapuram - 1,27,10,1,36,2,0,17,13,8
2025,8,MULUGU,VENKATAPURAM,Edjerlapalli,2214049,Jaganadhapuram,10,1,1,11,1,0,8,3,1
2025,8,WANAPARTHY,WANAPARTHY,Gopalpet,1417099,Gopalpeta-I,34,9,0,42,1,0,18,14,11
2025,8,NALGONDA,DAMERCHERLA,kondrapolu,2307254,Lavoori Thanda,23,0,1,23,1,0,22,2,0
2025,8,WANAPARTHY,WANAPARTHY,Rajapeta,1419052,Nagavaram-2,65,3,0,66,2,0,66,2,0
2025,8,NALGONDA,DAMERCHERLA,Dilawarpur,2307186,Dilwarpur-3,9,3,0,10,2,0,11,1,0
2025,8,NALGONDA,DAMERCHERLA,Dilawarpur,2307237,Sath Thanda,9,4,0,12,1,0,11,2,0
2025,8,WANAPARTHY,WANAPARTHY,Khilla Ghanapur,1419103,"Roa,DMin Thanda",17,3,0,19,1,0,14,6,0
2025,8,WANAPARTHY,WANAPARTHY,Peddamandadi,1419154,Veltor-1,11,1,0,11,1,0,0,3,9
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Komararam,2215323,Survey thanda,25,0,0,25,0,0,25,0,0
2025,8,NIRMAL,NIRMAL,Jam,1912125,CHINCHOLI-B-II,87,2,0,87,2,0,88,1,0
2025,8,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909317,Hamalivada-III,25,2,0,26,1,0,25,2,0
2025,8,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909160,Vemulabasthi,52,2,1,53,2,0,53,1,1
